Z_real_cycle_1,Z_real_cycle_100,Z_real_cycle_300,Z_real_cycle_400,Z_real_cycle_500,Z_real_cycle_700,Z_real_cycle_900,Z_real_cycle_1000
0.14169697728564265,0.135363106444874,0.1364055162104346,0.14389967282713853,0.1420785866445716,0.14036341372541106,0.1431963798671941,0.14521202015617646
0.13499286795836093,0.13172991187690453,0.13207795936319577,0.1347292152066274,0.13472992401128595,0.13548230884236537,0.13792395232813617,0.13940603285472739
0.12983870707754921,0.12801068908846713,0.12834337435952067,0.12908167777444246,0.1298845755860553,0.13177073887075239,0.13418340739460607,0.13548479909033104
0.12665554953748503,0.1254292534558509,0.1258259086341349,0.1258398654861843,0.1269897397578744,0.1293351928324735,0.13176046029614735,0.1329980380826071
0.12472872276717224,0.12362760250797722,0.12395835412160142,0.12371999123635774,0.12493588956840701,0.1273376827297345,0.12967939631088918,0.13085241109060253
0.1226758458365283,0.12140211063458364,0.1214911329180532,0.12117229638233451,0.12227024261545923,0.12445813893052356,0.1265837936147393,0.12764942364295415
0.11967378839890688,0.1180916106192399,0.11785979529732266,0.11753869709696185,0.11844436430295054,0.12032052828814127,0.12219700220635875,0.1231527585362054
0.11641814664330047,0.11462923822588296,0.11422167219177999,0.11397834924309916,0.11475079241664794,0.11643323363467234,0.11818830568847179,0.11910176509300517
0.11425454270252995,0.11239146749616401,0.11195123714023972,0.11182602465944398,0.11252739674740736,0.11412178177691377,0.11584754914657172,0.1167615701818394
0.11325005360555014,0.11134427622975773,0.11089558456427284,0.11087365141045753,0.111521773104484,0.11305229584920165,0.11476188462503303,0.11567994958773938
0.11281266516870768,0.11086496119912276,0.11040124278230995,0.1104578245480076,0.11105979930546342,0.11253313346433132,0.11422463393120821,0.1151434219173213
0.1125897018258779,0.11060343704543946,0.11012232967968945,0.11023879477850632,0.11080190698359776,0.11222616150843251,0.11390017841801102,0.11481802232265592
0.11246271671620885,0.11044385258006391,0.10994674098840068,0.1101097609244196,0.11064113657558278,0.11202494442816456,0.11368374384649685,0.11460017097162828
0.11238112214955465,0.11033620038449286,0.109825815825845,0.11002462297474801,0.11053099115654692,0.11188280122559507,0.11352925134183106,0.11444431198115534
0.1123219584822156,0.11025810602610592,0.10973793056254713,0.1099621746426942,0.11045048404713809,0.1117791926413361,0.11341663715897886,0.11433062800107657
0.11227490715219611,0.11019953337712692,0.10967336170892361,0.10991280754422493,0.11039014553564011,0.11170485635671508,0.1133368254015481,0.1142501367247312
0.11223563121703464,0.11015466491323256,0.10962555387671263,0.10987218770478653,0.11034420876554829,0.11165214433414104,0.11328144848139257,0.11419441034431188
0.11220307459922974,0.11011983253450275,0.10958949216600772,0.10983890726298483,0.11030877751096967,0.11161395811874955,0.11324216055153213,0.11415496372479175
0.11217747935796661,0.11009337441025174,0.10956253902720273,0.10981290607196759,0.11028197161060134,0.11158610460084545,0.11321387143859876,0.11412660099929989
0.11215957462660744,0.11007514231590997,0.10954409955525773,0.10979476911205964,0.11026353507317632,0.1115672665602721,0.11319485413214231,0.11410754607293845
0.11214932776764318,0.11006477225880883,0.10953364190211985,0.1097844030736034,0.11025305785870619,0.11155663514125697,0.1131841471876236,0.1140968197043784
0.11214469010377166,0.11006009049282815,0.10952892575949419,0.10977971452697806,0.11024832964245056,0.11155185041469272,0.11317933251984143,0.11409199625725966
0.11214292917310242,0.11005831451698778,0.10952713744690462,0.1097779348012765,0.11024653636471629,0.11155003755422738,0.11317750881509098,0.11409016916900726
0.11214231757696476,0.1100576979069911,0.10952651663733537,0.10977731674856105,0.11024591378984372,0.11154940840646282,0.11317687595942903,0.11408953512843317
0.11214211253606284,0.11005749120931559,0.10952630854134526,0.10977710955142486,0.11024570509750792,0.1115491975365083,0.11317666385270449,0.1140893226230523
0.11214204464599452,0.11005742277334458,0.10952623964335527,0.10977704094834542,0.11024563600165792,0.11154912772247697,0.11317659362988058,0.11408925226819618
0.11214202226131537,0.11005740020897214,0.10952621692685988,0.10977701832867798,0.11024561321986781,0.1115491047041784,0.11317657047697967,0.11408922907158295
0.11214201489104761,0.11005739277947973,0.10952620944730557,0.10977701088101469,0.1102456057187492,0.11154909712521291,0.11317656285354678,0.1140892214339136
0.11214201246542538,0.11005739033440035,0.10952620698567402,0.10977700842991088,0.1102456032500194,0.11154909463096592,0.11317656034477278,0.11408921892033524
0.11214201166717826,0.11005738952981992,0.10952620617573182,0.10977700762330878,0.11024560243769566,0.11154909381021275,0.1131765595191435,0.11408921809321049
